email,name,regNo,dept,batch_year,password
indira.24mca@kongu.edu,Indira Bala,24MCR043,MCA,2026,16-Aug-2002
lakshit.24mca@kongu.edu,Lakshit Sagar,24MCR044,MCA,2026,17-Apr-2002
darsh.24mca@kongu.edu,Darsh Raghavan,24MCR045,MCA,2026,26-Jan-2001
tanish.24mca@kongu.edu,Tanish Varkey,24MCR046,MCA,2026,22-May-2004
odika.24mca@kongu.edu,Odika Dhar,24MCR047,MCA,2026,24-Feb-2000
ubika.24mca@kongu.edu,Ubika Rajagopalan,24MCR048,MCA,2026,30-Dec-2004
upadhriti.24mca@kongu.edu,Upadhriti Sura,24MCR049,MCA,2026,01-Mar-2005
yash.24mca@kongu.edu,Yash Basu,24MCR050,MCA,2026,12-Mar-2003
aarush.24mca@kongu.edu,Aarush Narain,24MCR051,MCA,2026,14-Dec-2005
chaaya.24mca@kongu.edu,Chaaya Wadhwa,24MCR052,MCA,2026,28-Jul-2000
nicholas.24mca@kongu.edu,Nicholas Kibe,24MCR053,MCA,2026,22-Oct-2001
jhalak.24mca@kongu.edu,Jhalak Sem,24MCR054,MCA,2026,01-Jul-2004
manthan.24mca@kongu.edu,Manthan Issac,24MCR055,MCA,2026,22-Dec-2005
anthony.24mca@kongu.edu,Anthony Kala,24MCR056,MCA,2026,23-May-2001
gopal.24mca@kongu.edu,Gopal Pingle,24MCR057,MCA,2026,09-Feb-2002
ikshita.24mca@kongu.edu,Ikshita Gupta,24MCR058,MCA,2026,28-Feb-2000
varsha.24mca@kongu.edu,Varsha Ramakrishnan,24MCR059,MCA,2026,07-Apr-2000
aahana.24mca@kongu.edu,Aahana More,24MCR060,MCA,2026,21-Feb-2003
darsh2.24mca@kongu.edu,Darsh Behl,24MCR061,MCA,2026,06-Sep-2001
brinda.24mca@kongu.edu,Brinda Mallick,24MCR062,MCA,2026,06-Mar-2000
fariq.24mca@kongu.edu,Fariq Deshpande,24MCR063,MCA,2026,23-Feb-2001
aditya.24mca@kongu.edu,Aditya Kara,24MCR064,MCA,2026,02-Jun-2005
tanveer.24mca@kongu.edu,Tanveer Narayanan,24MCR065,MCA,2026,05-Jan-2003
tristan.24mca@kongu.edu,Tristan Tiwari,24MCR066,MCA,2026,30-Sep-2002
zayyan.24mca@kongu.edu,Zayyan Mitra,24MCR067,MCA,2026,18-Dec-2001
yoshita.24mca@kongu.edu,Yoshita Rama,24MCR068,MCA,2026,27-May-2001
dev.24mca@kongu.edu,Dev Ramaswamy,24MCR069,MCA,2026,25-Nov-2000
varsha2.24mca@kongu.edu,Varsha Biswas,24MCR070,MCA,2026,21-Apr-2004
tara.24mca@kongu.edu,Tara Vohra,24MCR071,MCA,2026,15-Jan-2005
matthew.24mca@kongu.edu,Matthew Badal,24MCR072,MCA,2026,04-Jun-2003
matthew2.24mca@kongu.edu,Matthew Bhatia,24MCR073,MCA,2026,14-Oct-2004
charles.24mca@kongu.edu,Charles Ramaswamy,24MCR074,MCA,2026,27-Jan-2004
bachittar.24mca@kongu.edu,Bachittar Venkataraman,24MCR075,MCA,2026,10-Dec-2004
bachittar2.24mca@kongu.edu,Bachittar Khatri,24MCR076,MCA,2026,12-Jun-2003
sanaya.24mca@kongu.edu,Sanaya Loke,24MCR077,MCA,2026,02-Dec-2001
vihaan.24mca@kongu.edu,Vihaan Kashyap,24MCR078,MCA,2026,22-Jul-2002
maanav.24mca@kongu.edu,Maanav Biswas,24MCR079,MCA,2026,02-Aug-2004
vanya.24mca@kongu.edu,Vanya Thaman,24MCR080,MCA,2026,26-Apr-2005
victor.24mca@kongu.edu,Victor Dube,24MCR081,MCA,2026,08-Dec-2005
tanish2.24mca@kongu.edu,Tanish Ramaswamy,24MCR082,MCA,2026,13-Apr-2000
aryan.24mca@kongu.edu,Aryan Kala,24MCR083,MCA,2026,09-Jan-2005
ranveer2.24mca@kongu.edu,Ranveer Saxena,24MCR084,MCA,2026,24-Jun-2000
ekalinga.24mca@kongu.edu,Ekalinga Narayanan,24MCR085,MCA,2026,16-Mar-2005
niharika.24mca@kongu.edu,Niharika Sarma,24MCR086,MCA,2026,31-Mar-2000
omaja.24mca@kongu.edu,Omaja Balasubramanian,24MCR087,MCA,2026,14-Jan-2001
aarini.24mca@kongu.edu,Aarini Sabharwal,24MCR088,MCA,2026,18-Feb-2004
girik.24mca@kongu.edu,Girik Hans,24MCR089,MCA,2026,22-Jun-2002
lucky.24mca@kongu.edu,Lucky Johal,24MCR090,MCA,2026,23-Apr-2002
kamya2.24mca@kongu.edu,Kamya Ray,24MCR091,MCA,2026,30-Apr-2003
aarnav.24mca@kongu.edu,Aarnav Handa,24MCR092,MCA,2026,12-Jun-2001
sai2.24mca@kongu.edu,Sai Chaudhry,24MCR093,MCA,2026,27-Sep-2001
vasana.24mca@kongu.edu,Vasana Patla,24MCR094,MCA,2026,23-Oct-2002
leena.24mca@kongu.edu,Leena Goda,24MCR095,MCA,2026,16-Mar-2003
wyatt.24mca@kongu.edu,Wyatt Behl,24MCR096,MCA,2026,19-Nov-2003
leela.24mca@kongu.edu,Leela Sane,24MCR097,MCA,2026,10-Nov-2001
arunima.24mca@kongu.edu,Arunima Narang,24MCR098,MCA,2026,06-Sep-2000
noah.24mca@kongu.edu,Noah Rajan,24MCR099,MCA,2026,18-Jun-2003
osha.24mca@kongu.edu,Osha Baria,24MCR100,MCA,2026,03-Jul-2003
