email,name,regNo,dept,batch_year,password
student33@example.com,Student Name 33,21CSR033,CIVIL,2025,password123
student34@example.com,Student Name 34,21CSR034,EEE,2025,password123
student35@example.com,Student Name 35,21CSR035,ECE,2025,password123
student36@example.com,Student Name 36,21CSR036,ECE,2025,password123
student37@example.com,Student Name 37,21CSR037,MECH,2025,password123
student38@example.com,Student Name 38,21CSR038,AIDS,2025,password123
student39@example.com,Student Name 39,21CSR039,AIML,2025,password123
student40@example.com,Student Name 40,21CSR040,ECE,2025,password123
student41@example.com,Student Name 41,21CSR041,ECE,2025,password123
student42@example.com,Student Name 42,21CSR042,EEE,2025,password123
student43@example.com,Student Name 43,21CSR043,CSE,2025,password123
student44@example.com,Student Name 44,21CSR044,CSE,2025,password123
student45@example.com,Student Name 45,21CSR045,CSE,2025,password123
student46@example.com,Student Name 46,21CSR046,AIDS,2025,password123
student47@example.com,Student Name 47,21CSR047,EEE,2025,password123
student48@example.com,Student Name 48,21CSR048,AIDS,2025,password123
student49@example.com,Student Name 49,21CSR049,AIDS,2025,password123
student50@example.com,Student Name 50,21CSR050,AIML,2025,password123
student51@example.com,Student Name 51,21CSR051,CSE,2025,password123
student52@example.com,Student Name 52,21CSR052,CSE,2025,password123
student53@example.com,Student Name 53,21CSR053,AIDS,2025,password123
student54@example.com,Student Name 54,21CSR054,EEE,2025,password123
student55@example.com,Student Name 55,21CSR055,CIVIL,2025,password123
student56@example.com,Student Name 56,21CSR056,CIVIL,2025,password123
student57@example.com,Student Name 57,21CSR057,MECH,2025,password123
student58@example.com,Student Name 58,21CSR058,ECE,2025,password123
student59@example.com,Student Name 59,21CSR059,EEE,2025,password123
student60@example.com,Student Name 60,21CSR060,CSE,2025,password123
student61@example.com,Student Name 61,21CSR061,MECH,2025,password123
student62@example.com,Student Name 62,21CSR062,CSE,2025,password123
student63@example.com,Student Name 63,21CSR063,EEE,2025,password123
student64@example.com,Student Name 64,21CSR064,AIML,2025,password123
student65@example.com,Student Name 65,21CSR065,EEE,2025,password123
student66@example.com,Student Name 66,21CSR066,AIDS,2025,password123
student67@example.com,Student Name 67,21CSR067,CSE,2025,password123
student68@example.com,Student Name 68,21CSR068,EEE,2025,password123
student69@example.com,Student Name 69,21CSR069,MECH,2025,password123
student70@example.com,Student Name 70,21CSR070,AIML,2025,password123
student71@example.com,Student Name 71,21CSR071,EEE,2025,password123
student72@example.com,Student Name 72,21CSR072,CSE,2025,password123
student73@example.com,Student Name 73,21CSR073,EEE,2025,password123
student74@example.com,Student Name 74,21CSR074,CSE,2025,password123
student75@example.com,Student Name 75,21CSR075,MECH,2025,password123
student76@example.com,Student Name 76,21CSR076,CSE,2025,password123
student77@example.com,Student Name 77,21CSR077,MECH,2025,password123
student78@example.com,Student Name 78,21CSR078,CIVIL,2025,password123
student79@example.com,Student Name 79,21CSR079,CIVIL,2025,password123
student80@example.com,Student Name 80,21CSR080,AIML,2025,password123
student81@example.com,Student Name 81,21CSR081,AIML,2025,password123
student82@example.com,Student Name 82,21CSR082,ECE,2025,password123
student83@example.com,Student Name 83,21CSR083,AIDS,2025,password123
student84@example.com,Student Name 84,21CSR084,EEE,2025,password123
student85@example.com,Student Name 85,21CSR085,CIVIL,2025,password123
student86@example.com,Student Name 86,21CSR086,CIVIL,2025,password123
student87@example.com,Student Name 87,21CSR087,EEE,2025,password123
student88@example.com,Student Name 88,21CSR088,AIDS,2025,password123
student89@example.com,Student Name 89,21CSR089,MECH,2025,password123
student90@example.com,Student Name 90,21CSR090,EEE,2025,password123
student91@example.com,Student Name 91,21CSR091,IT,2025,password123
student92@example.com,Student Name 92,21CSR092,CIVIL,2025,password123
student93@example.com,Student Name 93,21CSR093,CIVIL,2025,password123
student94@example.com,Student Name 94,21CSR094,AIML,2025,password123
student95@example.com,Student Name 95,21CSR095,CIVIL,2025,password123
student96@example.com,Student Name 96,21CSR096,AIDS,2025,password123
student97@example.com,Student Name 97,21CSR097,MECH,2025,password123
student98@example.com,Student Name 98,21CSR098,AIML,2025,password123
student99@example.com,Student Name 99,21CSR099,CIVIL,2025,password123
student100@example.com,Student Name 100,21CSR100,EEE,2025,password123
